Shortest path from 0 to 0: 0, Distance: 0
Shortest path from 0 to 78: 0 -> 78, Distance: 2
Shortest path from 0 to 79: 0 -> 76 -> 79, Distance: 2
Shortest path from 0 to 80: 0 -> 54 -> 80, Distance: 2
Shortest path from 0 to 81: 0 -> 165 -> 81, Distance: 2
Shortest path from 0 to 82: 0 -> 82, Distance: 2
Shortest path from 0 to 83: 0 -> 83, Distance: 2
Shortest path from 0 to 84: 0 -> 84, Distance: 2
Shortest path from 0 to 85: 0 -> 194 -> 85, Distance: 2
Shortest path from 0 to 86: 0 -> 161 -> 86, Distance: 2
Shortest path from 0 to 87: 0 -> 54 -> 87, Distance: 2
Shortest path from 0 to 88: 0 -> 88, Distance: 1
Shortest path from 0 to 89: 0 -> 89, Distance: 2
Shortest path from 0 to 90: 0 -> 51 -> 2 -> 90, Distance: 3
Shortest path from 0 to 91: 0 -> 91, Distance: 2
Shortest path from 0 to 92: 0 -> 92, Distance: 2
Shortest path from 0 to 93: 0 -> 19 -> 93, Distance: 3
Shortest path from 0 to 94: 0 -> 88 -> 94, Distance: 3
Shortest path from 0 to 95: 0 -> 118 -> 95, Distance: 2
Shortest path from 0 to 96: 0 -> 51 -> 96, Distance: 2
Shortest path from 0 to 97: 0 -> 118 -> 97, Distance: 2
Shortest path from 0 to 98: 0 -> 98, Distance: 2
Shortest path from 0 to 99: 0 -> 99, Distance: 2
Shortest path from 0 to 100: 0 -> 149 -> 100, Distance: 3
Shortest path from 0 to 101: 0 -> 6 -> 101, Distance: 3
Shortest path from 0 to 102: 0 -> 149 -> 102, Distance: 2
Shortest path from 0 to 103: 0 -> 88 -> 103, Distance: 3
Shortest path from 0 to 104: 0 -> 104, Distance: 2
Shortest path from 0 to 105: 0 -> 88 -> 105, Distance: 2
Shortest path from 0 to 106: 0 -> 118 -> 106, Distance: 2
Shortest path from 0 to 107: 0 -> 161 -> 107, Distance: 2
Shortest path from 0 to 108: 0 -> 149 -> 108, Distance: 3
Shortest path from 0 to 109: 0 -> 88 -> 109, Distance: 2
Shortest path from 0 to 110: 0 -> 118 -> 110, Distance: 2
Shortest path from 0 to 111: 0 -> 54 -> 111, Distance: 2
Shortest path from 0 to 112: 0 -> 51 -> 112, Distance: 2
Shortest path from 0 to 113: 0 -> 113, Distance: 2
Shortest path from 0 to 114: 0 -> 65 -> 114, Distance: 3
Shortest path from 0 to 115: 0 -> 19 -> 115, Distance: 2
Shortest path from 0 to 116: 0 -> 118 -> 116, Distance: 2
Shortest path from 0 to 117: 0 -> 155 -> 117, Distance: 2
Shortest path from 0 to 118: 0 -> 118, Distance: 1
Shortest path from 0 to 119: 0 -> 76 -> 119, Distance: 2
Shortest path from 0 to 120: 0 -> 19 -> 120, Distance: 3
Shortest path from 0 to 121: 0 -> 121, Distance: 2
Shortest path from 0 to 122: 0 -> 76 -> 122, Distance: 2
Shortest path from 0 to 123: 0 -> 51 -> 123, Distance: 3
Shortest path from 0 to 124: 0 -> 88 -> 124, Distance: 2
Shortest path from 0 to 125: 0 -> 65 -> 125, Distance: 2
Shortest path from 0 to 126: 0 -> 155 -> 126, Distance: 2
Shortest path from 0 to 127: 0 -> 51 -> 127, Distance: 2
Shortest path from 0 to 128: 0 -> 88 -> 128, Distance: 2
Shortest path from 0 to 129: 0 -> 65 -> 129, Distance: 2
Shortest path from 0 to 130: 0 -> 149 -> 130, Distance: 3
Shortest path from 0 to 131: 0 -> 131, Distance: 2
Shortest path from 0 to 132: 0 -> 88 -> 132, Distance: 2
Shortest path from 0 to 133: 0 -> 155 -> 133, Distance: 2
Shortest path from 0 to 134: 0 -> 19 -> 134, Distance: 3
Shortest path from 0 to 135: 0 -> 76 -> 135, Distance: 2
Shortest path from 0 to 136: 0 -> 19 -> 136, Distance: 2
Shortest path from 0 to 137: 0 -> 137, Distance: 2
Shortest path from 0 to 138: 0 -> 65 -> 138, Distance: 3
Shortest path from 0 to 139: 0 -> 161 -> 139, Distance: 3
Shortest path from 0 to 140: 0 -> 140, Distance: 2
Shortest path from 0 to 141: 0 -> 161 -> 141, Distance: 2
Shortest path from 0 to 142: 0 -> 54 -> 142, Distance: 2
Shortest path from 0 to 143: 0 -> 65 -> 143, Distance: 2
Shortest path from 0 to 144: 0 -> 19 -> 144, Distance: 2
Shortest path from 0 to 145: 0 -> 65 -> 1 -> 145, Distance: 3
Shortest path from 0 to 146: 0 -> 146, Distance: 2
Shortest path from 0 to 147: 0 -> 147, Distance: 2
Shortest path from 0 to 148: 0 -> 148, Distance: 2
Shortest path from 0 to 149: 0 -> 149, Distance: 1
Shortest path from 0 to 150: 0 -> 51 -> 150, Distance: 3
Shortest path from 0 to 151: 0 -> 88 -> 151, Distance: 2
Shortest path from 0 to 152: 0 -> 194 -> 152, Distance: 3
Shortest path from 0 to 153: 0 -> 153, Distance: 2
Shortest path from 0 to 154: 0 -> 88 -> 154, Distance: 2
Shortest path from 0 to 155: 0 -> 155, Distance: 1
Shortest path from 0 to 156: 0 -> 19 -> 156, Distance: 2
Shortest path from 0 to 157: 0 -> 157, Distance: 2
Shortest path from 0 to 158: 0 -> 165 -> 158, Distance: 3
Shortest path from 0 to 159: 0 -> 54 -> 159, Distance: 2
Shortest path from 0 to 160: 0 -> 160, Distance: 3
Shortest path from 0 to 161: 0 -> 161, Distance: 1
Shortest path from 0 to 162: 0 -> 65 -> 162, Distance: 2
Shortest path from 0 to 163: 0 -> 76 -> 163, Distance: 2
Shortest path from 0 to 164: 0 -> 54 -> 164, Distance: 3
Shortest path from 0 to 165: 0 -> 165, Distance: 1
Shortest path from 0 to 166: 0 -> 165 -> 166, Distance: 2
Shortest path from 0 to 167: 0 -> 9 -> 167, Distance: 3
Shortest path from 0 to 168: 0 -> 19 -> 168, Distance: 2
Shortest path from 0 to 169: 0 -> 165 -> 30 -> 169, Distance: 3
Shortest path from 0 to 170: 0 -> 194 -> 170, Distance: 3
Shortest path from 0 to 171: 0 -> 19 -> 171, Distance: 2
Shortest path from 0 to 172: 0 -> 76 -> 172, Distance: 2
Shortest path from 0 to 173: 0 -> 76 -> 173, Distance: 2
Shortest path from 0 to 174: 0 -> 174, Distance: 2
Shortest path from 0 to 175: 0 -> 149 -> 175, Distance: 2
Shortest path from 0 to 176: 0 -> 176, Distance: 2
Shortest path from 0 to 177: 0 -> 54 -> 28 -> 177, Distance: 3
Shortest path from 0 to 178: 0 -> 65 -> 17 -> 178, Distance: 3
Shortest path from 0 to 179: 0 -> 65 -> 179, Distance: 2
Shortest path from 0 to 180: 0 -> 155 -> 180, Distance: 2
Shortest path from 0 to 181: 0 -> 118 -> 181, Distance: 2
Shortest path from 0 to 182: 0 -> 54 -> 182, Distance: 2
Shortest path from 0 to 183: 0 -> 183, Distance: 3
Shortest path from 0 to 184: 0 -> 165 -> 184, Distance: 2
Shortest path from 0 to 185: 0 -> 149 -> 185, Distance: 2
Shortest path from 0 to 186: 0 -> 51 -> 186, Distance: 2
Shortest path from 0 to 187: 0 -> 51 -> 187, Distance: 2
Shortest path from 0 to 188: 0 -> 65 -> 188, Distance: 2
Shortest path from 0 to 189: 0 -> 88 -> 189, Distance: 2
Shortest path from 0 to 190: 0 -> 190, Distance: 2
Shortest path from 0 to 191: 0 -> 161 -> 191, Distance: 2
Shortest path from 0 to 192: 0 -> 65 -> 17 -> 192, Distance: 3
Shortest path from 0 to 193: 0 -> 54 -> 193, Distance: 2
Shortest path from 0 to 194: 0 -> 194, Distance: 1
Shortest path from 0 to 195: 0 -> 51 -> 195, Distance: 2
Shortest path from 0 to 196: 0 -> 54 -> 196, Distance: 2
Shortest path from 0 to 197: 0 -> 197, Distance: 2
Shortest path from 0 to 198: 0 -> 19 -> 198, Distance: 2
Shortest path from 0 to 199: 0 -> 149 -> 199, Distance: 2
