Shortest path from node 0 to node 1: 0 -> 1, Distance: 7
Shortest path from node 0 to node 59: 0 -> 2 -> 59, Distance: 4
Shortest path from node 0 to node 60: 0 -> 12 -> 26 -> 60, Distance: 1
Shortest path from node 0 to node 61: 0 -> 46 -> 61, Distance: 3
Shortest path from node 0 to node 62: 0 -> 62, Distance: 5
Shortest path from node 0 to node 63: 0 -> 63, Distance: 10
Shortest path from node 0 to node 64: 0 -> 64, Distance: 1
Shortest path from node 0 to node 65: 0 -> 13 -> 16 -> 23 -> 65, Distance: -10
Shortest path from node 0 to node 66: 0 -> 66, Distance: 3
Shortest path from node 0 to node 67: 0 -> 43 -> 67, Distance: 2
Shortest path from node 0 to node 68: 0 -> 68, Distance: 9
Shortest path from node 0 to node 69: 0 -> 13 -> 16 -> 23 -> 65 -> 69, Distance: -14
Shortest path from node 0 to node 70: 0 -> 70, Distance: 6
Shortest path from node 0 to node 71: 0 -> 71, Distance: 3
Shortest path from node 0 to node 72: 0 -> 12 -> 53 -> 72, Distance: -7
Shortest path from node 0 to node 73: 0 -> 73, Distance: 5
Shortest path from node 0 to node 74: 0 -> 74, Distance: 7
Shortest path from node 0 to node 75: 0 -> 75, Distance: 3
Shortest path from node 0 to node 76: 0 -> 76, Distance: 10
Shortest path from node 0 to node 77: 0 -> 22 -> 40 -> 77, Distance: 8
Shortest path from node 0 to node 78: 0 -> 78, Distance: 1
Shortest path from node 0 to node 79: 0 -> 43 -> 79, Distance: 12
Shortest path from node 0 to node 80: 0 -> 25 -> 80, Distance: 12
Shortest path from node 0 to node 81: 0 -> 2 -> 20 -> 81, Distance: 20
Shortest path from node 0 to node 82: 0 -> 46 -> 61 -> 82, Distance: 11
Shortest path from node 0 to node 83: 0 -> 13 -> 16 -> 83, Distance: 2
Shortest path from node 0 to node 84: 0 -> 73 -> 84, Distance: 15
Shortest path from node 0 to node 85: 0 -> 2 -> 20 -> 85, Distance: 2
Shortest path from node 0 to node 86: 0 -> 86, Distance: 7
Shortest path from node 0 to node 87: 0 -> 12 -> 53 -> 72 -> 87, Distance: -2
Shortest path from node 0 to node 88: 0 -> 88, Distance: 4
Shortest path from node 0 to node 89: 0 -> 13 -> 16 -> 23 -> 28 -> 89, Distance: 0
Shortest path from node 0 to node 90: 0 -> 90, Distance: 7
Shortest path from node 0 to node 91: 0 -> 91, Distance: 4
Shortest path from node 0 to node 92: 0 -> 92, Distance: 1
Shortest path from node 0 to node 93: 0 -> 12 -> 53 -> 72 -> 87 -> 93, Distance: 2
Shortest path from node 0 to node 94: 0 -> 12 -> 17 -> 94, Distance: 8
Shortest path from node 0 to node 95: 0 -> 71 -> 95, Distance: -5
Shortest path from node 0 to node 96: 0 -> 96, Distance: 8
Shortest path from node 0 to node 97: 0 -> 13 -> 35 -> 97, Distance: 15
Shortest path from node 0 to node 98: 0 -> 98, Distance: 9
Shortest path from node 0 to node 99: 0 -> 73 -> 99, Distance: 6
Shortest path from node 1 to node 4: 1 -> 4, Distance: 9
Shortest path from node 1 to node 10: 1 -> 10, Distance: 5
Shortest path from node 2 to node 6: 2 -> 6, Distance: 4
Shortest path from node 2 to node 20: 2 -> 20, Distance: 1
Shortest path from node 2 to node 59: 2 -> 59, Distance: -6
Shortest path from node 2 to node 81: 2 -> 20 -> 81, Distance: 10
Shortest path from node 2 to node 85: 2 -> 20 -> 85, Distance: -8
Shortest path from node 5 to node 19: 5 -> 19, Distance: 1
Shortest path from node 11 to node 29: 11 -> 29, Distance: 4
Shortest path from node 11 to node 30: 11 -> 30, Distance: 10
Shortest path from node 11 to node 38: 11 -> 30 -> 38, Distance: 7
Shortest path from node 11 to node 44: 11 -> 30 -> 38 -> 44, Distance: 8
Shortest path from node 12 to node 17: 12 -> 17, Distance: 2
Shortest path from node 12 to node 26: 12 -> 26, Distance: -10
Shortest path from node 12 to node 53: 12 -> 53, Distance: -10
Shortest path from node 12 to node 54: 12 -> 17 -> 54, Distance: -6
Shortest path from node 12 to node 55: 12 -> 53 -> 55, Distance: -12
Shortest path from node 12 to node 60: 12 -> 26 -> 60, Distance: -2
Shortest path from node 12 to node 72: 12 -> 53 -> 72, Distance: -10
Shortest path from node 12 to node 87: 12 -> 53 -> 72 -> 87, Distance: -5
Shortest path from node 12 to node 93: 12 -> 53 -> 72 -> 87 -> 93, Distance: -1
Shortest path from node 12 to node 94: 12 -> 17 -> 94, Distance: 5
Shortest path from node 13 to node 16: 13 -> 16, Distance: 3
Shortest path from node 13 to node 23: 13 -> 16 -> 23, Distance: -7
Shortest path from node 13 to node 28: 13 -> 16 -> 23 -> 28, Distance: -9
Shortest path from node 13 to node 32: 13 -> 16 -> 23 -> 32, Distance: -5
Shortest path from node 13 to node 35: 13 -> 35, Distance: 6
Shortest path from node 13 to node 45: 13 -> 16 -> 23 -> 28 -> 45, Distance: -16
Shortest path from node 13 to node 48: 13 -> 16 -> 23 -> 28 -> 48, Distance: -14
Shortest path from node 13 to node 65: 13 -> 16 -> 23 -> 65, Distance: -15
Shortest path from node 13 to node 69: 13 -> 16 -> 23 -> 65 -> 69, Distance: -19
Shortest path from node 13 to node 83: 13 -> 16 -> 83, Distance: -3
Shortest path from node 13 to node 89: 13 -> 16 -> 23 -> 28 -> 89, Distance: -5
Shortest path from node 13 to node 97: 13 -> 35 -> 97, Distance: 10
Shortest path from node 14 to node 47: 14 -> 47, Distance: 10
Shortest path from node 16 to node 23: 16 -> 23, Distance: -10
Shortest path from node 16 to node 28: 16 -> 23 -> 28, Distance: -12
Shortest path from node 16 to node 32: 16 -> 23 -> 32, Distance: -8
Shortest path from node 16 to node 45: 16 -> 23 -> 28 -> 45, Distance: -19
Shortest path from node 16 to node 48: 16 -> 23 -> 28 -> 48, Distance: -17
Shortest path from node 16 to node 65: 16 -> 23 -> 65, Distance: -18
Shortest path from node 16 to node 69: 16 -> 23 -> 65 -> 69, Distance: -22
Shortest path from node 16 to node 83: 16 -> 83, Distance: -6
Shortest path from node 16 to node 89: 16 -> 23 -> 28 -> 89, Distance: -8
Shortest path from node 17 to node 54: 17 -> 54, Distance: -8
Shortest path from node 17 to node 94: 17 -> 94, Distance: 3
Shortest path from node 18 to node 21: 18 -> 21, Distance: 3
Shortest path from node 20 to node 81: 20 -> 81, Distance: 9
Shortest path from node 20 to node 85: 20 -> 85, Distance: -9
Shortest path from node 22 to node 40: 22 -> 40, Distance: -6
Shortest path from node 22 to node 41: 22 -> 41, Distance: -2
Shortest path from node 22 to node 57: 22 -> 41 -> 57, Distance: -2
Shortest path from node 22 to node 77: 22 -> 40 -> 77, Distance: -2
Shortest path from node 23 to node 28: 23 -> 28, Distance: -2
Shortest path from node 23 to node 32: 23 -> 32, Distance: 2
Shortest path from node 23 to node 45: 23 -> 28 -> 45, Distance: -9
Shortest path from node 23 to node 48: 23 -> 28 -> 48, Distance: -7
Shortest path from node 23 to node 65: 23 -> 65, Distance: -8
Shortest path from node 23 to node 69: 23 -> 65 -> 69, Distance: -12
Shortest path from node 23 to node 89: 23 -> 28 -> 89, Distance: 2
Shortest path from node 25 to node 80: 25 -> 80, Distance: 8
Shortest path from node 26 to node 60: 26 -> 60, Distance: 8
Shortest path from node 28 to node 45: 28 -> 45, Distance: -7
Shortest path from node 28 to node 48: 28 -> 48, Distance: -5
Shortest path from node 28 to node 89: 28 -> 89, Distance: 4
Shortest path from node 30 to node 38: 30 -> 38, Distance: -3
Shortest path from node 30 to node 44: 30 -> 38 -> 44, Distance: -2
Shortest path from node 35 to node 97: 35 -> 97, Distance: 4
Shortest path from node 37 to node 50: 37 -> 50, Distance: 7
Shortest path from node 37 to node 58: 37 -> 50 -> 58, Distance: -3
Shortest path from node 38 to node 44: 38 -> 44, Distance: 1
Shortest path from node 40 to node 77: 40 -> 77, Distance: 4
Shortest path from node 41 to node 57: 41 -> 57, Distance: 0
Shortest path from node 43 to node 67: 43 -> 67, Distance: 0
Shortest path from node 43 to node 79: 43 -> 79, Distance: 10
Shortest path from node 46 to node 61: 46 -> 61, Distance: 2
Shortest path from node 46 to node 82: 46 -> 61 -> 82, Distance: 10
Shortest path from node 50 to node 58: 50 -> 58, Distance: -10
Shortest path from node 53 to node 55: 53 -> 55, Distance: -2
Shortest path from node 53 to node 72: 53 -> 72, Distance: 0
Shortest path from node 53 to node 87: 53 -> 72 -> 87, Distance: 5
Shortest path from node 53 to node 93: 53 -> 72 -> 87 -> 93, Distance: 9
Shortest path from node 61 to node 82: 61 -> 82, Distance: 8
Shortest path from node 65 to node 69: 65 -> 69, Distance: -4
Shortest path from node 71 to node 95: 71 -> 95, Distance: -8
Shortest path from node 72 to node 87: 72 -> 87, Distance: 5
Shortest path from node 72 to node 93: 72 -> 87 -> 93, Distance: 9
Shortest path from node 73 to node 84: 73 -> 84, Distance: 10
Shortest path from node 73 to node 99: 73 -> 99, Distance: 1
Shortest path from node 87 to node 93: 87 -> 93, Distance: 4
